Easy Parking LLC шинэ систем,,,
,Асуудал,Шийдэл,Янзлагдсан эсэх
11,Камерт дугаар уншигдахад дэлгэц дээр мэдээлэл харагдахгүй байгаа тул оочир үүсэж байна.,"Гарцын LED дэлгэцэд дугаар/хугацаа/дүн харуулдаг болсон (screen_fee_text, 3 мөрт формат), гацсан камерын авто сэргээлт нэмэгдсэн.",Тийм
12,Карт уншуулах үед картын кодыг хийж болохгүй байна,"Хаасан: энэ нь POS терминал дээрх банкны картын PIN асуудал тул манай системд хамааралгүй. Оронд нь: 2026-08-11-д «Онлайн оператор» шинэ хэрэглэгчийн төрөл нэмэгдсэн (касс + дансаар төлбөр, оффисоос).",Хаасан
13,Гэрээгээр машин бүртгэхэд тодорхой цагийн хооронд гэрээт машин үнэгүй байх цагийн сонголттой болгох,"Хийгдээгүй. Одоо гэрээт машин бүх цагт үнэгүй. Цагийн цонхны тохиргоо (жишээ: 08:00-18:00 үнэгүй, бусад цагт төлбөртэй) нэмэх — №16, №17-той нэг ажил.",Үгүй
14,Рашбулаг шороон зогсоолоос төлбөр гараад байгааг янзлах,"2026-08-11 хийгдсэн (4 засвар): дотоод камерын OCR-ойролцоо тохирол; Шалгах хуудсанд «Дотор зогсоолд» шүүлтүүр + тэмдэг; гадна камер уншиж чадаагүй машинд session автоматаар нөхөж үүсгэх; гарсан машины хий бүртгэлээс хамгаалалт. Дотор тоолол 3→23+ болж зөв болсон. Үлдсэн: гадна орох камерын линзний тоос цэвэрлэх (физик).",Тийм
15,Касс хаах үед касс хаах дарахаар баримт хэвлэхгүй байгаа,"Хийгдээгүй. Ээлж хаах цонхонд ээлжийн тайлан хэвлэх товч нэмэх шаардлагатай.",Үгүй
16,"Мөн гэрээгээр машин бүртгэх үед тхайн зогсоол дээр гэрээт бүртгэлтэй  машинуудыг тодорхой цагийн хооронд үнэгүй орж гардаг болгох боломжтой цагийн тохиргоог системд нэмүүлеээ жишээ нь : Гэрээт сургуулийн машин өглөө 8аас эхлээд орой 6 эсвэл 7 цаг хүртэл үнэгүй бусад үед нь цаг нь бодогддог байхаар","№13-тай ижил ажил — нэгтгэсэн.",Үгүй (№13-т)
17, Гэрээт сургуулийн машин өглөө 8аас эхлээд орой 6 эсвэл 7 цаг хүртэл үнэгүй бусад үед нь цаг нь бодогддог байхаар,"№13-тай ижил ажил — нэгтгэсэн.",Үгүй (№13-т)
18,ШИНЭ (2026-08-11): tumee админд «таны хариуцах зогсоол биш» алдаа гардаг байсан,"Зассан: түрээслэгчийн админ «Бүх зогсоол» бүртгэлээ устгах/засах/импортлох боломжтой болсон.",Тийм
19,"ШИНЭ (2026-08-11): төлбөр төлсөн ч хаалт нээгдэхгүй гомдол","Шалтгаан: QPay webhook алдагдаж 24 цагт 58 төлбөр PENDING гацсан байсан. Сервер минут тутам автоматаар дахин шалгаж сэргээдэг болсон. Мөн оношилгооны хэрэгсэл paid_no_open.py нэмэгдсэн. Хангарьдын гарах камерын уншилтыг шалгах (олон машин уншигдахгүй байна).",Тийм
20,ШИНЭ: Онлайн оператор хэрэглэгчийн төрөл,"Нэмэгдсэн: касс + шалгах + дансаар төлбөр баталгаажуулах эрхтэй, оффисоос ажиллана. Ажилтан нэмэхэд сонголтод гарна.",Тийм
